,Localisation
 e_britannia,"""Britannia"""
 k_england,"""England"""
 d_bedford,"""Essex"""
 c_middlesex,"""Middlesex"""
 b_london,"""London"""
 b_southwark,"""Southwark"""
 b_woxbrigge,"""Woxbrigge"""
 b_gore,"""Gore"""
 b_brentford,"""Brentford"""
 c_essex,"""Essex"""
 b_colchester,"""Colchester"""
 b_maldon,"""Maldon"""
 b_chelmsford,"""Chelmsford"""
 b_dunmow,"""Dunmow"""
 c_bedford,"""Bedford"""
 b_bedford,"""Bedford"""
 b_ampthill,"""Ampthill"""
 b_luton,"""Luton"""
 c_hertfordshire,"""Hertfordshire"""
 b_berkhamsted,"""Berkhamsted"""
 b_saint_albans,"""Saint Albans"""
 b_hertford,"""Hertford"""
 c_buckinghamshire,"""Buckinghamshire"""
 b_buckingham,"""Buckingham"""
 b_aylesbury,"""Aylesbury"""
 b_newport,"""Newport"""
 b_wycombe,"""Wycombe"""
 d_northumberland,"1 ""Northumbria"""
 c_northumberland,"""Northumberland"""
 b_bamburgh,"""Bamburgh"""
 b_rothbury,"""Rothbury"""
 b_lindisfarne,"""Lindisfarne"""
 b_hexham,"""Hexham"""
 c_durham,"""Durham"""
 b_durham,"""Durham"""
 b_hartlepool,"""Hartlepool"""
 b_darlington,"""Darlington"""
 c_cumberland,"""Cumberland"""
 b_carlisle,"""Carlisle"""
 b_whitehaven,"""Whitehaven"""
 b_furness,"""Furness"""
 d_lancaster,"""Lancaster"""
 c_lancashire,"""Lancashire"""
 b_lancaster,"""Lancaster"""
 b_salford,"""Salford"""
 b_west_derby,"""West Derby"""
 c_westmorland,"""Westmorland"""
 b_kendal,"""Kendal"""
 b_appleby,"""Appleby"""
 c_cheshire,"""Cheshire"""
 b_chester,"""Chester"""
 b_northwich,"""Northwich"""
 b_macclesfield,"""Macclesfield"""
 c_derby,"""Derby"""
 b_derby,"""Derby"""
 b_chesterfield,"""Chesterfield"""
 b_castleton,"""Castleton"""
 d_york,"""York"""
 c_north_riding,"""North Riding"""
 b_york,"""York"""
 b_scarborough,"""Scarborough"""
 b_whitby,"""Whitby"""
 b_richmond,"""Richmond"""
 b_yarlestre,"""Yarlestre"""
 c_east_riding,"""East Riding"""
 b_pockington,"""Pockington"""
 b_cottingham,"""Cottingham"""
 b_bridlington,"""Bridlington"""
 c_west_riding,"""West Riding"""
 b_leeds,"""Leeds"""
 b_doncaster,"""Doncaster"""
 b_halifax,"""Halifax"""
 b_sheffield,"""Sheffield"""
 b_bolton,"""Bolton"""
 b_ripon,"""Ripon"""
 c_lincolnshire,"""Lincolnshire"""
 b_lincoln,"""Lincoln"""
 b_stamford,"""Stamford"""
 b_boston,"""Boston"""
 b_bolingsbroke,"""Bolingstone"""
 b_grimsby,"""Grimsby"""
 d_norfolk,"""East Anglia"""
 c_norfolk,"""Norfolk"""
 b_norwich,"""Norwich"""
 b_thetford,"""Thetford"""
 b_walsingham,"""Walshingham"""
 b_lynn,"""Lynn"""
 c_suffolk,"""Suffolk"""
 b_ipswich,"""Ipswich"""
 b_sudbury,"""Sudbury"""
 b_blything,"""Blything"""
 b_beodericsworth,"""Beodericsworth"""
 c_cambridgeshire,"""Cambridgeshire"""
 b_cambridge,"""Cambridge"""
 b_radfield,"""Radfield"""
 b_papworth,"""Papworth"""
 b_ely,"""Ely"""
 d_hereford,"""Mercia"""
 c_warwickshire,"""Warwickshire"""
 b_warwick,"""Warwick"""
 b_coventry,"""Coventry"""
 b_birmingham,"""Birmingham"""
 c_leicestershire,"""Leicestershire"""
 b_leicester,"""Leicester"""
 b_melton,"""Melton"""
 b_bosworth,"""Bosworth"""
 b_rutland,"""Rutland"""
 c_nottinghamshire,"""Nottinghamshire"""
 b_nottingham,"""Nottingham"""
 b_newark,"1 ""Sherwood"""
 b_retford,"""Retford"""
 c_staffordshire,"""Staffordshire"""
 b_stafford,"""Stafford"""
 b_wolverhampton,"""Wolverhampton"""
 b_stoke_on_trent,"1 ""Burslem"""
 c_worcestershire,"""Worcestershire"""
 b_worcester,"""Worcester"""
 b_evesham,"""Evesham"""
 b_kidderminster,"""Kidderminster"""
 c_huntingdonshire,"""Huntingdonshire"""
 b_hurstingstone,"""Hurstingstone"""
 b_norman_cross,"""Norman Cross"""
 b_leightonstone,"""Leightonstone"""
 c_northamptonshire,"""Northamptonshire"""
 b_northampton,"""Northampton"""
 b_peterborough,"""Peterborough"""
 b_kettering,"""Kettering"""
 c_shropshire,"""Shropshire"""
 b_shrewsbury,"""Shrewsbury"""
 b_ludlow,"""Ludlow"""
 b_bishops_castle,"1 ""Westbury"""
 d_gloucester,"""Hwicce"""
 c_gloucestershire,"""Gloucestershire"""
 b_gloucester,"""Gloucester"""
 b_bristol,"""Bristol"""
 b_winchcombe,"""Winchcombe"""
 c_wiltshire,"""Wiltshire"""
 b_salisbury,"""Salisbury"""
 b_wilton,"""Wilton"""
 b_ramsbury,"""Ramsbury"""
 b_malmesbury,"""Malmesbury"""
 c_oxfordshire,"""Oxfordshire"""
 b_oxford,"""Oxford"""
 b_banbury,"""Banbury"""
 b_witney,"""Witney"""
 c_berkshire,"""Berkshire"""
 b_reading,"""Reading"""
 b_newbury,"""Newbury"""
 b_abingdon,"""Abingdon"""
 d_canterbury,"""Kent"""
 c_kent,"""Kent"""
 b_dover,"""Dover"""
 b_canterbury,"""Canterbury"""
 b_rochester,"""Rochester"""
 b_tonbridge,"""Tonbridge"""
 c_surrey,"""Surrey"""
 b_chertsey,"""Chertsey"""
 b_guildford,"""Guildford"""
 b_kingston,"""Kingston"""
 b_tandbridge,"""Tandbridge"""
 c_sussex,"""Sussex"""
 b_lewes,"""Lewes"""
 b_chichester,"""Chichester"""
 b_arun,"""Arun"""
 b_hastings,"""Hastings"""
 d_somerset,"""Wessex"""
 c_hampton,"1 ""Hampshire"""
 b_winchester,"""Winchester"""
 b_southampton,"""Southampton"""
 b_portsmouth,"""Portsmouth"""
 b_basingstoke,"""Basingstoke"""
 b_christchurch,"""Christchurch"""
 c_isle_of_wight,"""Wight"""
 b_carisbrooke,"""Carisbrooke"""
 c_dorset,"""Dorset"""
 b_wareham,"""Wareham"""
 b_poole,"""Poole"""
 b_shaftesbury,"""Shaftesbury"""
 b_lyme,"""Lyme"""
 c_somerset,"""Somerset"""
 b_bath,"""Bath"""
 b_winterstoke,"""Winterstoke"""
 b_ilchester,"""Ilchester"""
 b_taunton,"""Taunton"""
 d_cornwall,"""Cornwall"""
 c_devon,"""Devon"""
 b_exeter,"""Exeter"""
 b_totnes,"""Totnes"""
 b_okehampton,"""Okehampton"""
 b_barnstaple,"""Barnstaple"""
 c_cornwall,"""Cornwall"""
 b_launceston,"""Launceston"""
 b_tintagel,"""Tintagel"""
 b_helston,"""Helston"""
 k_wales,"""Wales"""
 d_gwynedd,"""Gwynedd"""
 c_cardiganshire,"1 ""Ceredigion"""
 b_cardigan,"""Cardigan"""
 b_aberystwyth,"""Aberystwyth"""
 c_merioneth,"""Merioneth"""
 b_dolgellau,"1 ""Harlech"""
 b_corwen,"""Corwen"""
 c_caernarfonshire,"1 ""Snowdon"""
 b_caernarfon,"""Caernarfon"""
 b_llyn,"""Llyn"""
 b_llandudno,"""Llandudno"""
 c_anglesey,"""Anglesey"""
 b_yns_mon,"1 ""Aberffraw"""
 b_holyhead,"""Holyhead"""
 c_denbighshire,"1 ""Perfeddwlad"""
 b_denbigh,"""Denbigh"""
 b_wrexham,"1 ""Tegeingl"""
 b_ruthin,"""Ruthin"""
 d_powys,"""Powys"""
 c_maldwyn,"1 ""Penllyn"""
 b_welshpool,"1 ""Mathrafal"""
