,Divisons
0,e_britannia
1,k_england
2,d_bedford
3,c_middlesex
4,b_london
5,b_southwark
6,b_woxbrigge
7,b_gore
8,b_brentford
9,c_essex
10,b_colchester
11,b_maldon
12,b_chelmsford
13,b_dunmow
14,c_bedford
15,b_bedford
16,b_ampthill
17,b_luton
18,c_hertfordshire
19,b_berkhamsted
20,b_saint_albans
21,b_hertford
22,c_buckinghamshire
23,b_buckingham
24,b_aylesbury
25,b_newport
26,b_wycombe
27,d_northumberland
28,c_northumberland
29,b_bamburgh
30,b_rothbury
31,b_lindisfarne
32,b_hexham
33,c_durham
34,b_durham
35,b_hartlepool
36,b_darlington
37,c_cumberland
38,b_carlisle
39,b_whitehaven
40,b_furness
41,d_lancaster
42,c_lancashire
43,b_lancaster
44,b_salford
45,b_west_derby
46,c_westmorland
47,b_kendal
48,b_appleby
49,c_cheshire
50,b_chester
51,b_northwich
52,b_macclesfield
53,c_derby
54,b_derby
55,b_chesterfield
56,b_castleton
57,d_york
58,c_north_riding
59,b_york
60,b_scarborough
61,b_whitby
62,b_richmond
63,b_yarlestre
64,c_east_riding
65,b_pockington
66,b_cottingham
67,b_bridlington
68,c_west_riding
69,b_leeds
70,b_doncaster
71,b_halifax
72,b_sheffield
73,b_bolton
74,b_ripon
75,c_lincolnshire
76,b_lincoln
77,b_stamford
78,b_boston
79,b_bolingsbroke
80,b_grimsby
81,d_norfolk
82,c_norfolk
83,b_norwich
84,b_thetford
85,b_walsingham
86,b_lynn
87,c_suffolk
88,b_ipswich
89,b_sudbury
90,b_blything
91,b_beodericsworth
92,c_cambridgeshire
93,b_cambridge
94,b_radfield
95,b_papworth
96,b_ely
97,d_hereford
98,c_warwickshire
99,b_warwick
100,b_coventry
101,b_birmingham
102,c_leicestershire
103,b_leicester
104,b_melton
105,b_bosworth
106,b_rutland
107,c_nottinghamshire
108,b_nottingham
109,b_newark
110,b_retford
111,c_staffordshire
112,b_stafford
113,b_wolverhampton
114,b_stoke_on_trent
115,c_worcestershire
116,b_worcester
117,b_evesham
118,b_kidderminster
119,c_huntingdonshire
120,b_hurstingstone
121,b_norman_cross
122,b_leightonstone
123,c_northamptonshire
124,b_northampton
125,b_peterborough
126,b_kettering
127,c_shropshire
128,b_shrewsbury
129,b_ludlow
130,b_bishops_castle
131,d_gloucester
132,c_gloucestershire
133,b_gloucester
134,b_bristol
135,b_winchcombe
136,c_wiltshire
137,b_salisbury
138,b_wilton
139,b_ramsbury
140,b_malmesbury
141,c_oxfordshire
142,b_oxford
143,b_banbury
144,b_witney
145,c_berkshire
146,b_reading
147,b_newbury
148,b_abingdon
149,d_canterbury
150,c_kent
151,b_dover
152,b_canterbury
153,b_rochester
154,b_tonbridge
155,c_surrey
156,b_chertsey
157,b_guildford
158,b_kingston
159,b_tandbridge
160,c_sussex
161,b_lewes
162,b_chichester
163,b_arun
164,b_hastings
165,d_somerset
166,c_hampton
167,b_winchester
168,b_southampton
169,b_portsmouth
170,b_basingstoke
171,b_christchurch
172,c_isle_of_wight
173,b_carisbrooke
174,c_dorset
175,b_wareham
176,b_poole
177,b_shaftesbury
178,b_lyme
179,c_somerset
180,b_bath
181,b_winterstoke
182,b_ilchester
183,b_taunton
184,d_cornwall
185,c_devon
186,b_exeter
187,b_totnes
188,b_okehampton
189,b_barnstaple
190,c_cornwall
191,b_launceston
192,b_tintagel
193,b_helston
194,k_wales
195,d_gwynedd
196,c_cardiganshire
197,b_cardigan
198,b_aberystwyth
199,c_merioneth
200,b_dolgellau
201,b_corwen
202,c_caernarfonshire
203,b_caernarfon
204,b_llyn
205,b_llandudno
206,c_anglesey
207,b_yns_mon
208,b_holyhead
209,c_denbighshire
210,b_denbigh
211,b_wrexham
212,b_ruthin
213,d_powys
214,c_maldwyn
215,b_welshpool
216,b_newtown
217,c_sir_faesyfed
218,b_llandrindod
219,b_rhayader
220,c_hereford
221,b_hereford
222,b_wigmore
223,b_clifford
224,d_deheubarth
225,c_carmarthenshire
226,b_carmarthen
227,b_llandovery
228,c_pembrokeshire
229,b_pembroke
230,b_st_davids
231,b_fishguard
232,c_glamorgan
233,b_cardiff
234,b_swansea
235,b_caerphilly
236,c_monmouthshire
237,b_casnewydd
238,b_monmouth
239,c_brecknockshire
240,b_brecon
241,b_talgarth
242,k_scotland
243,d_albany
244,c_gowrie
245,b_st_johnston
246,b_coupar_angus
247,b_crieff
248,c_fife
249,b_dunfermline
250,b_kircaldy
251,b_st_andrews
252,c_strathearn
253,b_stirling
254,b_callander
255,b_clackmannan
256,c_atholl
257,b_dunkeld
258,b_aberfeldy
259,c_angus
260,b_dundee
261,b_kirriemuir
262,b_mar
263,c_mearns
264,b_aberdeen
265,b_kincardine
266,b_ballater
267,d_the_isles
268,c_isle_of_man
269,b_castletown
270,b_ramsey
271,d_galloway
272,c_lennox
273,b_dumbarton
274,b_glasgow
275,b_meneith
276,c_galloway
277,b_kilcudbrite
278,b_sanquhar
279,b_wigtown
280,c_carrick
281,b_maybole
282,b_girvan
283,c_ayrshire
284,b_kyle
285,b_strathgryte
286,b_cunningham
287,c_annandale
288,b_annan
289,b_dumfries
290,d_western_isles
291,c_inner_hebrides
292,b_islay
293,b_arran
294,b_mull
295,c_outer_hebrides
296,b_skye
297,b_lewis
298,b_the_uists
299,c_argyll
300,b_kilmarten
301,b_glencoe
302,b_lomond
303,b_ardnamurchon
304,d_lothian
305,c_lothian
306,b_edinburgh
307,b_haddington
308,b_galashiels
309,b_penicuick
310,c_dunbar
311,b_dunbar
312,b_berwick
313,c_teviotdale
314,b_kelso
315,b_jedburgh
316,b_selkirk
317,c_linlithgowshire
318,b_linlithgow
319,b_queensferry
320,b_falkirk
321,c_lanarkshire
322,b_lanark
323,b_cadyou
324,b_biggar
325,d_moray
326,c_moray
327,b_elgin
328,b_keith
329,b_garioch
330,c_ross
331,b_dingwall
332,b_gairloch
333,c_buchan
334,b_banff
335,b_mortlach
336,b_peterhead
337,c_sutherland
338,b_dornoch
339,b_durness
340,c_caithness
341,b_thurso
342,b_wick
343,c_inverness
344,b_inverness
345,b_badenoch
346,b_glenfinnan
347,k_ireland
348,d_meath
349,c_dublin
350,b_dublin
351,b_wicklow
352,b_kildare
353,b_trim
354,b_drogheda
355,c_athlone
356,b_athlone
357,b_birr
358,b_uisneach
359,d_ulster
360,c_ulster
361,b_downpatrick
362,b_slemish
363,b_carrickfergus
364,c_oriel
365,b_dundalk
366,b_armagh
367,b_ardee
368,c_ailech
369,b_donegal
370,b_raphoe
371,b_fahan
372,b_derry
373,d_connacht
374,c_connacht
375,b_galway
376,b_castlebar
377,b_sligo
378,b_athenry
379,c_breifne
380,b_dromahair
381,b_belcoo
382,b_longford
383,b_cavan
384,d_leinster
385,c_leinster
386,b_wexford
387,b_enniscorthy
388,b_ferns
389,b_carlow
390,c_ossory
391,b_gowran
392,b_kilkenny
393,b_athy
394,b_carrick
395,d_munster
396,c_thomond
397,b_limerick
398,b_ennis
399,b_nenagh
400,b_roscrea
401,c_ormond
402,b_waterford
403,b_emly
404,b_clonmel
405,c_desmond
406,b_tralee
407,b_cork
408,b_kinsale
409,b_baltimore
410,k_cornwall
411,e_germany
412,k_saxony
413,d_anhalt
414,c_dessau
415,b_dessau
416,b_zerbst
417,c_halberstadt
418,b_halberstadt
419,b_werningerode
420,b_arnstein
421,c_magdeburg
422,b_magdeburg
423,b_mockern
424,b_gommern
425,c_blankenburg
426,b_blankenburg
427,b_hohenstein
428,c_mansfeld
429,b_mansfeld
430,b_sangerhausen
431,c_mersenburg
432,b_mersenburg
433,b_leipzig
434,b_halle
435,d_angria
436,c_minden
437,b_diepholz
438,b_minden
439,b_bruchhausen
440,b_hoya
441,c_lippe
442,b_lippe
443,b_schwalenberg
444,b_everstein
445,c_bremen
446,b_bremen
447,b_verden
448,b_zeven
449,c_wolpe
450,b_wolpe
451,b_schauenburg
452,b_depenau
453,c_hannover
454,b_hannover
455,b_wunsdorf
456,b_woldenberg
457,c_hildesheim
458,b_hildesheim
459,b_homburg
460,b_dassel
461,c_oldenburg
462,b_oldenburg
463,b_leer
464,b_twistringen
465,d_westfalen
466,c_osnabruck
467,b_osnabruck
468,b_ravensberg
469,b_vechta
470,b_cloppenburg
471,c_tecklenburg
472,b_tecklenburg
473,b_papenburg
474,b_meppen
475,b_bentheim
476,c_munster
477,b_munster
478,b_warendorf
479,b_ahlen
480,b_soest
481,c_waldeck
482,b_waldeck
483,b_wittenstein
484,b_buren
485,c_paderborn
486,b_paderborn
487,b_brakel
488,b_wiedenbruck
489,b_lippstadt
490,d_ostfalen
491,c_luneburg
492,b_luneburg
493,b_uelzen
494,b_walsrode
495,b_celle
496,c_brunswick
497,b_brunswick
498,b_wolfenbuttel
499,c_hamburg
500,b_hamburg
501,b_buxtehude
502,b_ahrensburg
