,Empire,Kingdom,Duchy,County,Barony,Province ID,color
0,None,k_papal_state,,,,,
1,None,k_orthodox,,,,,
2,None,k_orthodox,d_iconoclast,,,,
3,None,k_orthodox,d_patriarchate_in_the_east,,,,
4,None,k_orthodox,d_coptic_papacy,,,,
5,None,k_orthodox,d_apostolic_church,,,,
6,None,k_orthodox,d_conversos,,,,
7,None,k_danelaw,,,,,
8,None,k_danelaw,d_sunni,,,,
9,None,k_danelaw,d_shiite,,,,
10,None,k_danelaw,d_masmudi,,,,
11,e_golden_horde,,,,,,
12,e_ilkhanate,,,,,,
13,e_chagatai,,,,,,
14,e_black_horde,,,,,,
15,e_white_horde,,,,,,
16,e_aarlud_khanate,,,,,,
17,e_togskol_khanate,,,,,,
18,e_baruun_khanate,,,,,,
19,e_uyghur_khanate,,,,,,
20,e_kirghiz_khanate,,,,,,
21,e_mongol_empire,,,,,,
22,e_kara_khitai,,,,,,
23,e_timurids,,,,,,
24,e_timurids,k_danelaw,d_rabbinism,,,,
25,e_timurids,k_danelaw,d_karaism,,,,
26,e_timurids,k_danelaw,d_haymanot,,,,
27,e_timurids,k_danelaw,d_malabarism,,,,
28,e_timurids,k_danelaw,d_samaritan,,,,
29,e_timurids,k_danelaw,d_kabarism,,,,
30,e_timurids,k_danelaw,d_mazdayasna,,,,
31,e_timurids,k_danelaw,d_zurvanism,,,,
32,e_timurids,k_danelaw,d_gayomarthianism,,,,
33,e_timurids,k_danelaw,d_khurmazta,,,,
34,e_timurids,k_danelaw,d_mazdakism,,,,
35,e_timurids,k_danelaw,d_khurramism,,,,
36,e_timurids,k_danelaw,d_urartuism,,,,
37,e_timurids,k_sakya_trizin,,,,,
38,e_timurids,k_guiyi,,,,,
39,e_timurids,k_switzerland,,,,,
40,e_timurids,k_austria,,,,,
41,e_outremer,,,,,,
42,e_outremer,k_austria,d_knights_templar,,,,
43,e_outremer,k_austria,d_teutonic_order,,,,
44,e_outremer,k_austria,d_knights_hospitaler,,,,
45,e_outremer,k_austria,d_hashshashin,,,,
46,e_outremer,k_austria,d_bektashi,,,,
47,e_outremer,k_austria,d_haruriyyah,,,,
48,e_outremer,k_austria,d_jomsvikings,,,,
49,e_outremer,k_austria,d_immortals,,,,
50,e_outremer,k_austria,d_zealots,,,,
51,e_outremer,k_austria,d_holy_sepulchre,,,,
52,e_outremer,k_austria,d_saint_anthony,,,,
53,e_outremer,k_austria,d_saint_addai,,,,
54,e_outremer,k_austria,d_sky_lords,,,,
55,e_outremer,k_austria,d_spirit_guardians,,,,
56,e_outremer,k_austria,d_warriors_perun,,,,
57,e_outremer,k_austria,d_chosen_perkunas,,,,
58,e_outremer,k_austria,d_sons_kaleva,,,,
59,e_outremer,k_austria,d_huitzilopochtli,,,,
60,e_outremer,k_austria,d_knights_santiago,,,,
61,e_outremer,k_austria,d_knights_calatrava,,,,
62,e_outremer,k_austria,d_followers_arjuna,,,,
63,e_outremer,k_austria,d_ashokas_chosen,,,,
64,e_outremer,k_austria,d_bulls_rishabha,,,,
